       depth	       totalf	        clayf	         capf	        freef	         mlT2	         Ksdr	          Ktc	         Ksoe	         Tsdr	          Ttc	         Tsoe	          soe	        noise	    unix_time	 board_temp	 magnet_temp
0.9789360000	  0.0100400816	 0.0000000000	 0.0000000000	 0.0100400816	 3.7431159162	 4107.4620485477	 9.9612248086	 1.1713423622	 0.0000000000	 0.0000000000	 0.0000000000	 0.0001018347	 6.2727841389	 0	 0.000000	 0.000000
1.7991360000	  0.0461191826	 0.0374363204	 0.0005683376	 0.0081145246	 0.0026058294	 0.0091441494	 0.0206792382	 0.0153791430	 1684.4739361251	 4.0935788496	 0.4866744893	 0.0000063341	 5.9131035469	 0	 0.000000	 0.000000
2.6193360000	  0.0000000000	 0.0000000000	 0.0000000000	 0.0000000000	 NaN	 NaN	 0.0000000000	 0.0354510691	 1684.4776861407	 4.1020594052	 0.5075199593	 0.0000252824	 5.8306133303	 0	 0.000000	 0.000000
3.4395360000	  0.0037778095	 0.0000000000	 0.0000000000	 0.0037778095	 3.4704242304	 1328.5409570394	 0.5306658785	 0.1416209821	 2229.3123326226	 4.3196854820	 0.5801372075	 0.0000075772	 5.3290486819	 0	 0.000000	 0.000000
4.2597360000	  0.0292301815	 0.0178667991	 0.0092026286	 0.0021607538	 0.0041554216	 0.0147377596	 0.0018305966	 0.0547399688	 2774.1530230597	 4.5380622864	 0.6606648335	 0.0000047047	 4.7704740502	 0	 0.000000	 0.000000
5.0799360000	  0.0082821198	 0.0000000000	 0.0002162018	 0.0080659180	 0.0537617798	 0.6989700147	 5.0665225508	 0.0188022306	 2774.4457146179	 6.6165939121	 0.6908244895	 0.0000131382	 4.8152105388	 0	 0.000000	 0.000000
5.9001360000	  0.0275225376	 0.0209178817	 0.0000487988	 0.0065558570	 0.0081295506	 0.0531118361	 0.0264242256	 0.4827416151	 2774.7541433849	 8.7052113852	 0.8965076206	 0.0000355585	 5.0501125390	 0	 0.000000	 0.000000
6.7203360000	  0.1252111484	 0.1224758686	 0.0000628811	 0.0026723987	 0.0013209206	 0.0063791992	 0.0005860986	 0.0803540645	 2774.7785406585	 8.7162883192	 1.1274331587	 0.0000055805	 4.7070233012	 0	 0.000000	 0.000000
7.5405360000	  0.2148182529	 0.2101265211	 0.0013994214	 0.0032923103	 0.0013296846	 0.0110901698	 0.0005121966	 0.1461438688	 2774.7857048468	 8.7167387300	 1.2203199612	 0.0000187654	 5.0619916322	 0	 0.000000	 0.000000
8.3607360000	  0.2046375766	 0.2011290833	 0.0031392549	 0.0003692384	 0.0012209343	 0.0089071703	 0.0000065809	 0.0020104482	 2774.7939057559	 8.7169514807	 1.2810780466	 0.0000014353	 5.5775086272	 0	 0.000000	 0.000000
9.1809360000	  0.0077789921	 0.0000000000	 0.0000000000	 0.0077789921	 0.0866507614	 1.7054455513	 4.6330928007	 0.0273712105	 2775.4969618071	 10.6169855372	 1.2931274648	 0.0000138074	 5.4466151098	 0	 0.000000	 0.000000
10.0011360000	  0.1928956945	 0.1832179162	 0.0025075495	 0.0071702289	 0.0014320994	 0.0115515060	 0.0028296588	 0.0458389467	 2776.2011023003	 12.5181773378	 1.3231509502	 0.0000181989	 5.4156505200	 0	 0.000000	 0.000000
10.8213360000	  0.0137010703	 0.0013979430	 0.0101486932	 0.0021544341	 0.0145904972	 0.0851656448	 0.0046597832	 0.0568819337	 2776.2407660038	 12.5212487580	 1.3652767833	 0.0000065909	 5.4956927440	 0	 0.000000	 0.000000
11.6415360000	  0.0214173453	 0.0035689910	 0.0165158443	 0.0013325100	 0.0066484528	 0.0276424531	 0.0009255414	 0.0266282575	 2776.2870286048	 12.5235392996	 1.3995243127	 0.0000051156	 5.2091035140	 0	 0.000000	 0.000000
12.4617360000	  0.0178575171	 0.0000000000	 0.0138627235	 0.0039947936	 0.0421523455	 0.9264763315	 0.0145197664	 0.1205951892	 2776.6783127183	 12.5298734203	 1.4599006482	 0.0000227046	 5.5053750079	 0	 0.000000	 0.000000
13.2819360000	  0.0247787712	 0.0000000000	 0.0154664352	 0.0093123360	 0.0289344448	 0.6057310488	 0.0880452345	 0.0463004433	 2777.3066709649	 12.5719353271	 1.5283445470	 0.0000326116	 5.1486720349	 0	 0.000000	 0.000000
14.1021360000	  0.0235911479	 0.0068931586	 0.0072154377	 0.0094825516	 0.0130248091	 0.1168588398	 0.1043654031	 0.0127935062	 2777.6030050782	 12.6508429296	 1.5525789757	 0.0000085762	 5.4175218572	 0	 0.000000	 0.000000
14.9223360000	  0.0270722707	 0.0010732971	 0.0106747450	 0.0153242287	 0.0420669126	 1.3988647462	 0.4501078833	 0.5355850098	 2778.2246033208	 12.8782324244	 1.7774690051	 0.0001275362	 5.6348822324	 0	 0.000000	 0.000000
15.7425360000	  0.1889992760	 0.1338271296	 0.0255986729	 0.0295734735	 0.0031032328	 0.0531445345	 0.0640075959	 0.1966272021	 2778.8200723269	 13.0890711824	 2.0777492332	 0.0001297353	 5.0719342627	 0	 0.000000	 0.000000
16.5627360000	  0.1620554280	 0.1018428036	 0.0530619605	 0.0071506638	 0.0032982200	 0.0514745531	 0.0033986753	 0.1107260140	 2778.8629766147	 13.1167144942	 2.2037947872	 0.0000782001	 5.1774470262	 0	 0.000000	 0.000000
17.3829360000	  0.0684487147	 0.0499069878	 0.0124935223	 0.0060482046	 0.0032285266	 0.0208326155	 0.0063274898	 0.3127238139	 2778.8926297845	 13.1207031945	 2.3774515616	 0.0001121464	 5.1732504637	 0	 0.000000	 0.000000
18.2031360000	  0.2069820497	 0.1291355621	 0.0778464877	 0.0000000000	 0.0023617427	 0.0337106867	 0.0000000000	 0.0590578048	 2778.9149979928	 13.1232980981	 2.5299192034	 0.0000421179	 5.6709096462	 0	 0.000000	 0.000000
19.0233360000	  0.3362846402	 0.2327948900	 0.1034897502	 0.0000000000	 0.0021366382	 0.0448269081	 0.0000000000	 0.0532024760	 2778.9472062604	 13.1232980981	 2.5759571445	 0.0000379398	 5.3935181906	 0	 0.000000	 0.000000
19.8435360000	  0.3335366442	 0.2121314624	 0.1213762878	 0.0000288940	 0.0024152542	 0.0568118608	 0.0000000246	 0.0127140364	 2778.9888883195	 13.1232981082	 2.6029895062	 0.0000090621	 5.5463250212	 0	 0.000000	 0.000000
20.6637360000	  0.2917862216	 0.1021656403	 0.1643857716	 0.0252348097	 0.0045961743	 0.1799813606	 0.0257393617	 0.3482662742	 2779.0859972196	 13.1338538305	 2.7510275316	 0.0002295663	 5.2266291764	 0	 0.000000	 0.000000
21.4839360000	  0.2470951082	 0.0903381054	 0.1490733945	 0.0076836083	 0.0045871321	 0.1518155994	 0.0025049439	 1.1995501499	 2779.2220671529	 13.1454368203	 3.3857870471	 0.0002039359	 5.0240695735	 0	 0.000000	 0.000000
22.3041360000	  0.2027920231	 0.1067692352	 0.0938645759	 0.0021582120	 0.0030494919	 0.0550649929	 0.0002309516	 0.1843693236	 2779.3069088838	 13.1465588110	 3.9533324231	 0.0000539409	 5.0672194157	 0	 0.000000	 0.000000
23.1243360000	  0.2115060198	 0.1369779849	 0.0745280349	 0.0000000000	 0.0022650812	 0.0316854629	 0.0000000000	 0.0337465483	 2779.3424852457	 13.1466535243	 4.0427817422	 0.0000240668	 5.2615177100	 0	 0.000000	 0.000000
23.9445360000	  0.2934406982	 0.2521353373	 0.0387167877	 0.0025885732	 0.0016435940	 0.0231461731	 0.0002287666	 0.0447436624	 2779.3649716996	 13.1467473415	 4.0749705776	 0.0000317413	 5.4169673378	 0	 0.000000	 0.000000
24.7647360000	  0.2518927278	 0.1539025020	 0.0979902257	 0.0000000000	 0.0024166548	 0.0429550894	 0.0000000000	 0.0040263993	 2779.3920798274	 13.1468411587	 4.0949711800	 0.0000028715	 5.0777179123	 0	 0.000000	 0.000000
25.5849360000	  0.2132782314	 0.1012552799	 0.1120229515	 0.0000000000	 0.0030773772	 0.0589763300	 0.0000000000	 0.0014773056	 2779.4338819025	 13.1468411587	 4.0972282493	 0.0000010535	 5.2491678923	 0	 0.000000	 0.000000
26.4051360000	  0.2947337384	 0.1643617395	 0.1263494089	 0.0040225900	 0.0028715917	 0.0709651302	 0.0005554102	 0.4513279717	 2779.4871708954	 13.1470689324	 4.2829236935	 0.0001036426	 5.4010366836	 0	 0.000000	 0.000000
27.2253360000	  0.2634098892	 0.0868884051	 0.1765214841	 0.0000000000	 0.0040099397	 0.1236737466	 0.0000000000	 0.0274148177	 2779.5669922987	 13.1472967062	 4.4792561115	 0.0000195509	 4.8851668008	 0	 0.000000	 0.000000
28.0455360000	  0.3796518864	 0.2924754935	 0.0871763929	 0.0000000000	 0.0018541803	 0.0381117831	 0.0000000000	 0.0005409211	 2779.6333405444	 13.1472967062	 4.4907207599	 0.0000003857	 5.3657729058	 0	 0.000000	 0.000000
28.8657360000	  0.3810578776	 0.2891408640	 0.0919170136	 0.0000000000	 0.0018568074	 0.0383613988	 0.0000000000	 0.1111009433	 2779.6647021963	 13.1472967062	 4.5365050885	 0.0000792332	 5.2905804172	 0	 0.000000	 0.000000
29.6859360000	  0.3374250075	 0.1525703383	 0.1802305980	 0.0046240712	 0.0033545447	 0.1108700356	 0.0006411421	 0.1650765751	 2779.7259020076	 13.1475596385	 4.6497654888	 0.0001145267	 5.1279968410	 0	 0.000000	 0.000000
30.5061360000	  0.3434928875	 0.2066871880	 0.1368056996	 0.0000000000	 0.0024845531	 0.0619133181	 0.0000000000	 0.1057893677	 2779.7967604609	 13.1478225709	 4.7608476119	 0.0000754446	 4.6918072225	 0	 0.000000	 0.000000
31.3263360000	  0.2578246721	 0.1183567766	 0.1359391565	 0.0035287390	 0.0036329076	 0.0993580211	 0.0004886288	 0.4121873166	 2779.8628978371	 13.1480229576	 4.9732698501	 0.0001487200	 5.2927751655	 0	 0.000000	 0.000000
32.1465360000	  0.2486095865	 0.0958297823	 0.1475523846	 0.0052274196	 0.0037637457	 0.1028319773	 0.0011287786	 0.0777017017	 2779.9458159555	 13.1486862563	 5.1741733365	 0.0000536022	 5.1089025757	 0	 0.000000	 0.000000
32.9667360000	  0.2513932341	 0.0877697429	 0.1631891280	 0.0004343632	 0.0038489270	 0.1087433492	 0.0000074122	 0.1416080726	 2780.0325829968	 13.1491522082	 5.2641122749	 0.0000876289	 4.9242336423	 0	 0.000000	 0.000000
33.7869360000	  0.3837871938	 0.3331277487	 0.0333267440	 0.0173327010	 0.0017053929	 0.0325918597	 0.0084504658	 0.1937228056	 2780.0905445660	 13.1526207840	 5.4016314680	 0.0001261836	 4.9524641813	 0	 0.000000	 0.000000
34.6071360000	  0.3488184477	 0.2996541965	 0.0364815862	 0.0126826651	 0.0017149507	 0.0299552194	 0.0048875157	 0.2010149544	 2780.1161951231	 13.1580906902	 5.5635134234	 0.0001281629	 4.7649217967	 0	 0.000000	 0.000000
35.4273360000	  0.3592382653	 0.2176982045	 0.1271673258	 0.0143727349	 0.0027698158	 0.0804737296	 0.0061412843	 0.2524734850	 2780.1614820351	 13.1626136011	 5.7494890324	 0.0001711249	 5.0912727587	 0	 0.000000	 0.000000
36.2475360000	  0.4113565768	 0.2091346219	 0.1865307914	 0.0156911635	 0.0032862633	 0.1297158150	 0.0063675271	 0.4247369745	 2780.2476807674	 13.1677434646	 6.0272130418	 0.0002911467	 4.9400242557	 0	 0.000000	 0.000000
37.0677360000	  0.3308595314	 0.1870006848	 0.1275043244	 0.0163545222	 0.0030238557	 0.0883355553	 0.0088056386	 0.5440400449	 2780.3371036343	 13.1739659799	 6.4245084974	 0.0002217446	 5.0420692458	 0	 0.000000	 0.000000
37.8879360000	  0.3015918863	 0.1700498895	 0.1200408386	 0.0115011582	 0.0029558065	 0.0769380918	 0.0046658521	 0.4755481243	 2780.4048823570	 13.1794906382	 6.8426416056	 0.0001735656	 4.7017377475	 0	 0.000000	 0.000000
38.7081360000	  0.4090443310	 0.1917578945	 0.2071350462	 0.0101513903	 0.0035574375	 0.1511522813	 0.0026073961	 1.0744939073	 2780.4984222190	 13.1824733973	 7.4783138428	 0.0002771510	 4.7602558287	 0	 0.000000	 0.000000
39.5283360000	  0.2022340161	 0.0790446646	 0.1231893514	 0.0000000000	 0.0035596878	 0.0748251837	 0.0000000000	 0.0328360107	 2780.5910955774	 13.1835426904	 7.9324298422	 0.0000234174	 5.4776772937	 0	 0.000000	 0.000000
40.3485360000	  0.0973047571	 0.0288422486	 0.0680532918	 0.0004092167	 0.0042844779	 0.0521554448	 0.0000170800	 0.0114489385	 2780.6431703331	 13.1835496949	 7.9505910998	 0.0000081564	 5.1132985707	 0	 0.000000	 0.000000
41.1687360000	  0.1150235498	 0.0429488199	 0.0720747298	 0.0000000000	 0.0035755788	 0.0429387332	 0.0000000000	 0.0064986999	 2780.6821684556	 13.1835566994	 7.9579514263	 0.0000046346	 4.4810543243	 0	 0.000000	 0.000000
41.9889360000	  0.3763702153	 0.2121723016	 0.1641979137	 0.0000000000	 0.0026094480	 0.0748311309	 0.0000000000	 0.1817333473	 2780.7304658768	 13.1835566994	 8.0351453889	 0.0001296057	 5.0234029591	 0	 0.000000	 0.000000
42.8091360000	  0.2804601116	 0.1111490454	 0.1577025021	 0.0116085641	 0.0045779602	 0.1716267190	 0.0051463347	 2.2846047820	 2780.8315382411	 13.1856672113	 9.0465906557	 0.0003901510	 5.0100528089	 0	 0.000000	 0.000000
